Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 202,CB-318,MX16-6,318,,,,,
Oil Mapping Pop 202,CB-320,MX16-6,320,,,,,
Oil Mapping Pop 202,CB-327,MX16-6,327,,,,,
Oil Mapping Pop 202,CB-328,MX16-6,328,,,,,
Oil Mapping Pop 202,CB-330,MX16-6,330,,,,,
Oil Mapping Pop 202,CB-341,MX16-6,341,,,,,
Oil Mapping Pop 202,CB-344,MX16-6,344,,,,,
Oil Mapping Pop 202,CB-346,MX16-6,346,,,,,
Oil Mapping Pop 202,CB-351,MX16-6,351,,,,,
Oil Mapping Pop 202,CB-371,MX16-6,371,,,,,
Oil Mapping Pop 202,CB-372,MX16-6,372,,,,,
Oil Mapping Pop 202,CB-373,MX16-6,373,,,,,
Oil Mapping Pop 202,CB-383,MX16-6,383,,,,,
Oil Mapping Pop 202,CB-387,MX16-6,387,,,,,
Oil Mapping Pop 202,CB-388,MX16-6,388,,,,,
Oil Mapping Pop 202,CB-389,MX16-6,389,,,,,
Oil Mapping Pop 202,CB-390,MX16-6,390,,,,,
Oil Mapping Pop 202,CB-397,MX16-6,397,,,,,
Oil Mapping Pop 202,CB-398,MX16-6,398,,,,,
Oil Mapping Pop 202,CB-399,MX16-6,399,,,,,
Oil Mapping Pop 202,CB-406,MX16-6,406,,,,,
Oil Mapping Pop 202,CB-421,MX16-6,421,,,,,
Oil Mapping Pop 202,CB-422,MX16-6,422,,,,,
Oil Mapping Pop 202,CB-423,MX16-6,423,,,,,
Oil Mapping Pop 202,CB-425,MX16-6,425,,,,,
Oil Mapping Pop 202,CB-429,MX16-6,429,,,,,
Oil Mapping Pop 202,CB-430,MX16-6,430,,,,,
Oil Mapping Pop 202,CB-433,MX16-6,433,,,,,
Oil Mapping Pop 202,CB-436,MX16-6,436,,,,,
Oil Mapping Pop 202,CB-440,MX16-6,440,,,,,
Oil Mapping Pop 202,CB-443,MX16-6,443,,,,,
Oil Mapping Pop 202,CB-446,MX16-6,446,,,,,
Oil Mapping Pop 202,CB-448,MX16-6,448,,,,,
Oil Mapping Pop 202,CB-472,MX16-6,472,,,,,
Oil Mapping Pop 202,CB-482,MX16-6,482,,,,,
Oil Mapping Pop 202,CB-491,MX16-6,491,,,,,
Oil Mapping Pop 202,CB-505,MX16-6,505,,,,,
Oil Mapping Pop 202,CB-511,MX16-6,511,,,,,
Oil Mapping Pop 202,CB-512,MX16-6,512,,,,,
Oil Mapping Pop 202,CB-521,MX16-6,521,,,,,
Oil Mapping Pop 202,CB-523,MX16-6,523,,,,,
Oil Mapping Pop 202,CB-530,MX16-6,530,,,,,
Oil Mapping Pop 202,CB-534,MX16-6,534,,,,,
Oil Mapping Pop 202,CB-536,MX16-6,536,,,,,
Oil Mapping Pop 202,CB-541,MX16-6,541,,,,,
Oil Mapping Pop 202,CB-555,MX16-6,555,,,,,
Oil Mapping Pop 202,CB-559,MX16-6,559,,,,,
Oil Mapping Pop 202,CB-560,MX16-6,560,,,,,
Oil Mapping Pop 201,LMN09-119,LMN09-119,LMN09-119,,,,,
Oil Mapping Pop 201,N09-09,N09-09,N09-09,,,,,
Oil Mapping Pop 201,N18-1558,MX15-1,1,,,,,
Oil Mapping Pop 201,N18-1559,MX15-1,2,,,,,
Oil Mapping Pop 201,N18-1560,MX15-1,3,,,,,
Oil Mapping Pop 201,N18-1561,MX15-1,4,,,,,
Oil Mapping Pop 201,N18-1562,MX15-1,5,,,,,
Oil Mapping Pop 201,N18-1563,MX15-1,6,,,,,
Oil Mapping Pop 201,N18-1564,MX15-1,7,,,,,
Oil Mapping Pop 201,N18-1565,MX15-1,8,,,,,
Oil Mapping Pop 201,N18-1566,MX15-1,9,,,,,
Oil Mapping Pop 201,N18-1567,MX15-1,11,,,,,
Oil Mapping Pop 201,N18-1568,MX15-1,12,,,,,
Oil Mapping Pop 201,N18-1569,MX15-1,13,,,,,
Oil Mapping Pop 201,N18-1570,MX15-1,15,,,,,
Oil Mapping Pop 201,N18-1571,MX15-1,16,,,,,
Oil Mapping Pop 201,N18-1572,MX15-1,17,,,,,
Oil Mapping Pop 201,N18-1573,MX15-1,18,,,,,
Oil Mapping Pop 201,N18-1574,MX15-1,19,,,,,
Oil Mapping Pop 201,N18-1575,MX15-1,20,,,,,
Oil Mapping Pop 201,N18-1576,MX15-1,21,,,,,
Oil Mapping Pop 201,N18-1577,MX15-1,22,,,,,
Oil Mapping Pop 201,N18-1578,MX15-1,23,,,,,
Oil Mapping Pop 201,N18-1579,MX15-1,25,,,,,
Oil Mapping Pop 201,N18-1580,MX15-1,26,,,,,
Oil Mapping Pop 201,N18-1581,MX15-1,27,,,,,
Oil Mapping Pop 201,N18-1582,MX15-1,28,,,,,
Oil Mapping Pop 201,N18-1583,MX15-1,29,,,,,
Oil Mapping Pop 201,N18-1584,MX15-1,30,,,,,
Oil Mapping Pop 201,N18-1585,MX15-1,31,,,,,
Oil Mapping Pop 201,N18-1586,MX15-1,32,,,,,
Oil Mapping Pop 201,N18-1587,MX15-1,34,,,,,
Oil Mapping Pop 201,N18-1588,MX15-1,35,,,,,
Oil Mapping Pop 201,N18-1589,MX15-1,36,,,,,
Oil Mapping Pop 201,N18-1590,MX15-1,37,,,,,
Oil Mapping Pop 201,N18-1591,MX15-1,38,,,,,
Oil Mapping Pop 201,N18-1592,MX15-1,39,,,,,
Oil Mapping Pop 201,N18-1593,MX15-1,40,,,,,
Oil Mapping Pop 201,N18-1594,MX15-1,41,,,,,
Oil Mapping Pop 201,N18-1595,MX15-1,42,,,,,
Oil Mapping Pop 201,N18-1596,MX15-1,43,,,,,
Oil Mapping Pop 201,N18-1597,MX15-1,44,,,,,
Oil Mapping Pop 201,N18-1598,MX15-1,45,,,,,
Oil Mapping Pop 201,N18-1599,MX15-1,46,,,,,
Oil Mapping Pop 201,N18-1600,MX15-1,47,,,,,
Oil Mapping Pop 201,N18-1601,MX15-1,48,,,,,
Oil Mapping Pop 201,N18-1602,MX15-1,49,,,,,
Oil Mapping Pop 201,N18-1603,MX15-1,50,,,,,
Oil Mapping Pop 201,N18-1604,MX15-1,52,,,,,
Oil Mapping Pop 201,N18-1605,MX15-1,53,,,,,
