Column1,Column2,Column3
PI ,Common Name (from GRIN),
PI612761B,50131,
PI594728B,4469,
PI538386B,1886,
PI567181B,861,
PI80459,2,
PI506471,2,
PI506472,3,
PI68715,4,
PI68483,5,
PI68761-3,9,
PI68761,9,
PI68661,12,
PI407738,12,
PI68461,13,
PI407739,13,
PI68530,15,
PI407742,16,
PI68436,17,
PI68466,18,
PI506473,18,
PI68671,19,
PI68439,20,
PI407749,21,
PI68474-2,22,
PI68474,22,
PI407750,22,
PI68666,23,
PI407751,23,
PI407752,24,
PI407753,25,
PI407755,28,
PI407756,29,
PI68470,31,
PI407759,31,
PI68503,32,
PI407761,33,
PI95740,35,
PI407762,35,
PI407763,36,
PI68484-4,38,
PI68484-1,38,
PI68543,41,
PI68443,45,
PI68655,47,
PI603178,47,
PI68795,55,
PI68768,58,
PI68455,59,
PI68465-1,64,
PI68465,64,
PI68488,64,
PI95769,64,
PI506475,64,
PI68765,65,
PI68446,73,
PI68746,75,
PI95780,75,
PI68494,78,
PI68713,86,
PI468967,86,
PI68680-2,88,
PI68680,88,
PI68599,91,
PI68704,95,
PI95801,96,
PI68526,97,
PI68718,101,
PI68722,103,
PI68770,108,
PI68788,110,
PI68696,113,
PI68658,114,
PI68621,116,
PI68729,118,
PI68763,129,
PI80536,134,
PI68683,139,
PI567180,140,
PI68610,142,
PI68759,143,
PI68687,144,
PI95853,148,
PI95860,155,
PI471925,162,
PI68560,164,
PI68629,169,
PI68523,170,
PI471926,170,
PI471927,171,
PI471928,172,
PI68670-2,174,
PI68670-1,174,
PI471930,175,
PI68778,177,
PI68481,178,
PI95887,182,
PI471931,185,
PI68448,186,
PI68572,188,
PI471932,189,
PI471933,190,
PI471934,192,
PI471935,193,
PI471936,194,
PI471937,196,
PI471938,197,
PI471939,198,
PI68709,200,
PI68732-1,204,
PI68732,204,
PI68521-1,205,
PI68521,205,
PI68454,209,
PI88293A,224,
PI88293,224,
PI68449,225,
PI88289,235,
PI68694,236,
PI471940,240,
PI68762,242,
PI68710,246,
PI68551-3,247,
PI68551-2,247,
PI68756,247,
PI68736,254,
PI95959,254,
PI95960,255,
PI68728,257,
PI88291,262,
PI95969,264,
PI68685,265,
PI68533-2,266,
PI68533-1,266,
PI86103,266,
PI68663,268,
PI68701,270,
PI68741,272,
PI68622,277,
PI81035,279,
PI68479-1,282,
PI68479,282,
PI68480,282,
PI68676,283,
PI68692-2,284,
PI68692,284,
PI68604-2,285,
PI68604-1,285,
PI68712,287,
PI68731,289,
PI68535,290,
PI68508,292,
PI577809,293,
PI68706,294,
PI68725,296,
PI68679-2,298,
PI68679,298,
PI68748,299,
PI68708,300,
PI68585,303,
PI68627,305,
PI68522,314,
PI88282,319,
PI68609A,320,
PI68609B,320,
PI68639,322,
PI68644,323,
PI68555,329,
PI96035,330,
PI68642,335,
PI68528,341,
PI68554,345,
PI68587,348,
PI68648,350,
PI68500,354,
PI68576,355,
PI68457-1,361,
PI68457,361,
PI68564,370,
PI68475-1,371,
PI68475,371,
PI68516,373,
PI68598,375,
PI68586,377,
PI577810,381,
PI68600,382,
PI68562,383,
PI96089,384,
PI96093,388,
PI96118,413,
PI88292,420,
PI96152,447,
PI203406,455,
PI96162,457,
PI96169B,464,
PI96169,464,
PI96171,466,
PI88288,480,
PI96188,483,
PI96193,488,
PI96194-3,489,
PI96194P,489,
PI96195,490,
PI96199,494,
PI96201,496,
PI597406,502,
PI61940,503,
PI96257,552,
PI61944,568,
PI96280,575,
PI61947,586,
PI96321,616,
PI96322,617,
PI96333,628,
PI445826,644,
PI96354,649,
PI86116,671,
PI96549,698,
PI96550,699,
PI567181A,861,
PI567182,862,
PI556615,877,
PI96783,932,
PI96786-1,935,
PI96786,935,
PI62202-2,936,
PI62202,936,
PI96787,936,
PI62203,937,
PI96808,957,
PI62204,964,
PI96927,1076,
PI556667,1082,
PI96978,1127,
PI96983,1132,
PI96984,1133,
PI63271,1187,
PI97038,1187,
PI86053,1215,
PI97066,1215,
